run_date,name,state,projected_winner,win_prob,rating,alp_proj_vote_share,lib_proj_vote_share,nat_proj_vote_share,grn_proj_vote_share,teal_proj_vote_share,onp_proj_vote_share,oth_proj_vote_share,alp_win_pct,lib_win_pct,nat_win_pct,grn_win_pct,teal_win_pct,onp_win_pct,oth_win_pct
2025-11-17,Brand,WA,alp,0.9863837499310526,Safe Labor,0.4204157860112726,0.1885657834041937,0.0,0.1083966706766681,0.0,0.1817482412857916,0.1008735186220739,0.9863837499310526,0.002269375011491492,0.002269375011491492,0.002269375011491492,0.002269375011491492,0.002269375011491492,0.002269375011491492
2025-11-18,Brand,WA,alp,0.9863837505040708,Safe Labor,0.420415787326773,0.1885657829928813,0.0,0.1083966704439355,0.0,0.1817482408220097,0.1008735184144004,0.9863837505040708,0.002269374915988461,0.002269374915988461,0.002269374915988461,0.002269374915988461,0.002269374915988461,0.002269374915988461
2025-11-19,Brand,WA,alp,0.9863837510828191,Safe Labor,0.4204157886554283,0.1885657825774557,0.0,0.1083966702088758,0.0,0.18174824035359,0.1008735182046503,0.9863837510828191,0.002269374819530416,0.002269374819530416,0.002269374819530416,0.002269374819530416,0.002269374819530416,0.002269374819530416
2025-11-20,Brand,WA,alp,0.98681851357638,Safe Labor,0.4205085843348374,0.1873299796747237,0.0,0.1087484891227178,0.0,0.1829719644546203,0.1004409824131009,0.98681851357638,0.002196914403936925,0.002196914403936925,0.002196914403936925,0.002196914403936925,0.002196914403936925,0.002196914403936925
2025-11-21,Brand,WA,alp,0.9868185141492991,Safe Labor,0.420508585689748,0.1873299792540558,0.0,0.1087484888822884,0.0,0.1829719639737149,0.1004409822001928,0.9868185141492991,0.002196914308450399,0.002196914308450399,0.002196914308450399,0.002196914308450399,0.002196914308450399,0.002196914308450399
2025-11-22,Brand,WA,alp,0.9868185147279477,Safe Labor,0.4205085870582081,0.1873299788291809,0.0,0.1087484886394549,0.0,0.1829719634880003,0.1004409819851558,0.9868185147279477,0.00219691421200897,0.00219691421200897,0.00219691421200897,0.00219691421200897,0.00219691421200897,0.00219691421200897
2025-11-23,Brand,WA,alp,0.9868185153123825,Safe Labor,0.4205085884403528,0.1873299784000575,0.0,0.1087484883941932,0.0,0.1829719629974284,0.1004409817679682,0.9868185153123825,0.002196914114603165,0.002196914114603165,0.002196914114603165,0.002196914114603165,0.002196914114603165,0.002196914114603165
2025-11-24,Brand,WA,alp,0.9869193366912667,Safe Labor,0.4204018621150754,0.1869097510433545,0.0,0.1083534162387817,0.0,0.1840131063749363,0.1003218642278522,0.9869193366912667,0.002180110551455791,0.002180110551455791,0.002180110551455791,0.002180110551455791,0.002180110551455791,0.002180110551455791
2025-11-25,Brand,WA,alp,0.9869193372830665,Safe Labor,0.4204018635249062,0.1869097506068816,0.0,0.1083534159896856,0.0,0.1840131058718358,0.1003218640066907,0.9869193372830665,0.002180110452822504,0.002180110452822504,0.002180110452822504,0.002180110452822504,0.002180110452822504,0.002180110452822504
2025-11-26,Brand,WA,alp,0.9857805583580411,Safe Labor,0.4193057433505709,0.1855932938412316,0.0,0.1068958905541267,0.0,0.1892396831960325,0.09896538905803837,0.9857805583580411,0.002369906940326749,0.002369906940326749,0.002369906940326749,0.002369906940326749,0.002369906940326749,0.002369906940326749
2025-11-27,Brand,WA,alp,0.9857805590348376,Safe Labor,0.4193057447888239,0.1855932934008149,0.0,0.1068958903044954,0.0,0.1892396826695507,0.09896538883631516,0.9857805590348376,0.002369906827527331,0.002369906827527331,0.002369906827527331,0.002369906827527331,0.002369906827527331,0.002369906827527331
