StateAb,DivisionId,DivisionNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition(0 for TPP candidates),ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
TAS,319,Clark,33553,IND,Independent,WILKIE,Andrew,6,37141,LP,Liberal,COATS,Will,4,8318,27.720
TAS,319,Clark,36817,AJP,Animal Justice Party,DAVIES,Casey,7,37267,ALP,Australian Labor Party,DAVIS,Simon,2,575,69.440
TAS,319,Clark,36817,AJP,Animal Justice Party,DAVIES,Casey,7,37141,LP,Liberal,COATS,Will,4,253,30.560
TAS,319,Clark,36115,UAPP,United Australia Party,GALLOWAY,Sandra,8,37267,ALP,Australian Labor Party,DAVIS,Simon,2,419,44.530
TAS,319,Clark,36115,UAPP,United Australia Party,GALLOWAY,Sandra,8,37141,LP,Liberal,COATS,Will,4,522,55.470
VIC,320,Cooper,0,,,First Preferences,,0,36730,LP,Liberal,ATKINSON,Jadon,5,15329,28.340
VIC,320,Cooper,0,,,First Preferences,,0,36384,ALP,Australian Labor Party,KEARNEY,Ged,8,38754,71.660
VIC,320,Cooper,36690,AJP,Animal Justice Party,BANGAAR,Rabin,1,36730,LP,Liberal,ATKINSON,Jadon,5,1045,47.350
VIC,320,Cooper,36690,AJP,Animal Justice Party,BANGAAR,Rabin,1,36384,ALP,Australian Labor Party,KEARNEY,Ged,8,1162,52.650
VIC,320,Cooper,36659,VNS,Victorian Socialists,LARKIN,Kath,2,36730,LP,Liberal,ATKINSON,Jadon,5,392,12.060
VIC,320,Cooper,36659,VNS,Victorian Socialists,LARKIN,Kath,2,36384,ALP,Australian Labor Party,KEARNEY,Ged,8,2858,87.940
VIC,320,Cooper,36527,GVIC,The Greens,LIDDLE,Celeste,3,36730,LP,Liberal,ATKINSON,Jadon,5,1513,5.900
VIC,320,Cooper,36527,GVIC,The Greens,LIDDLE,Celeste,3,36384,ALP,Australian Labor Party,KEARNEY,Ged,8,24135,94.100
VIC,320,Cooper,36049,SOPA,FUSION: Science, Pirate, Secular, Climate Emergency,WHITEHEAD,Adrian,4,36730,LP,Liberal,ATKINSON,Jadon,5,374,23.600
VIC,320,Cooper,36049,SOPA,FUSION: Science, Pirate, Secular, Climate Emergency,WHITEHEAD,Adrian,4,36384,ALP,Australian Labor Party,KEARNEY,Ged,8,1211,76.400
VIC,320,Cooper,35995,UAPP,United Australia Party,LA ROSA,Adam,6,36730,LP,Liberal,ATKINSON,Jadon,5,2453,58.820
VIC,320,Cooper,35995,UAPP,United Australia Party,LA ROSA,Adam,6,36384,ALP,Australian Labor Party,KEARNEY,Ged,8,1717,41.180
VIC,320,Cooper,37778,ON,Pauline Hanson's One Nation,TURNER,William Tristan,7,36730,LP,Liberal,ATKINSON,Jadon,5,1901,67.720
VIC,320,Cooper,37778,ON,Pauline Hanson's One Nation,TURNER,William Tristan,7,36384,ALP,Australian Labor Party,KEARNEY,Ged,8,906,32.280
VIC,214,Goldstein,0,,,First Preferences,,0,36717,LP,Liberal,WILSON,Tim,8,39607,78.580
VIC,214,Goldstein,0,,,First Preferences,,0,36416,ALP,Australian Labor Party,ABBOTT,Martyn,9,10799,21.420
VIC,214,Goldstein,36687,GVIC,The Greens,GALLI-McROSTIE,Alana,1,36717,LP,Liberal,WILSON,Tim,8,1457,18.960
VIC,214,Goldstein,36687,GVIC,The Greens,GALLI-McROSTIE,Alana,1,36416,ALP,Australian Labor Party,ABBOTT,Martyn,9,6226,81.040
VIC,214,Goldstein,37279,DHJP,Derryn Hinch's Justice Party,SULLIVAN,Ellie Jean,2,36717,LP,Liberal,WILSON,Tim,8,376,63.840
VIC,214,Goldstein,37279,DHJP,Derryn Hinch's Justice Party,SULLIVAN,Ellie Jean,2,36416,ALP,Australian Labor Party,ABBOTT,Martyn,9,213,36.160
VIC,214,Goldstein,37572,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,HOULT,Brandon,3,36717,LP,Liberal,WILSON,Tim,8,219,49.440
VIC,214,Goldstein,37572,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,HOULT,Brandon,3,36416,ALP,Australian Labor Party,ABBOTT,Martyn,9,224,50.560
VIC,214,Goldstein,36932,LDP,Liberal Democrats,SEGAL,David,4,36717,LP,Liberal,WILSON,Tim,8,1713,82.670
VIC,214,Goldstein,36932,LDP,Liberal Democrats,SEGAL,David,4,36416,ALP,Australian Labor Party,ABBOTT,Martyn,9,359,17.330
VIC,214,Goldstein,36074,IND,Independent,DANIEL,Zoe,5,36717,LP,Liberal,WILSON,Tim,8,7970,23.570
VIC,214,Goldstein,36074,IND,Independent,DANIEL,Zoe,5,36416,ALP,Australian Labor Party,ABBOTT,Martyn,9,25845,76.430
VIC,214,Goldstein,37667,ON,Pauline Hanson's One Nation,STARK,Lisa,6,36717,LP,Liberal,WILSON,Tim,8,924,74.580
VIC,214,Goldstein,37667,ON,Pauline Hanson's One Nation,STARK,Lisa,6,36416,ALP,Australian Labor Party,ABBOTT,Martyn,9,315,25.420
VIC,214,Goldstein,36007,UAPP,United Australia Party,REYNOLDS,Catherine Frances,7,36717,LP,Liberal,WILSON,Tim,8,1484,80.650
VIC,214,Goldstein,36007,UAPP,United Australia Party,REYNOLDS,Catherine Frances,7,36416,ALP,Australian Labor Party,ABBOTT,Martyn,9,356,19.350
VIC,218,Indi,0,,,First Preferences,,0,36431,ALP,Australian Labor Party,DAVID,Nadia,8,8723,21.960
VIC,218,Indi,0,,,First Preferences,,0,36721,LP,Liberal,LYMAN,Ross,10,30995,78.040
VIC,218,Indi,36698,AJP,Animal Justice Party,ALEKSOV,Angel,1,36431,ALP,Australian Labor Party,DAVID,Nadia,8,1273,72.780
VIC,218,Indi,36698,AJP,Animal Justice Party,ALEKSOV,Angel,1,36721,LP,Liberal,LYMAN,Ross,10,476,27.220
VIC,218,Indi,32086,IND,Independent,HAINES,Helen,2,36431,ALP,Australian Labor Party,DAVID,Nadia,8,27852,67.410
VIC,218,Indi,32086,IND,Independent,HAINES,Helen,2,36721,LP,Liberal,LYMAN,Ross,10,13467,32.590
VIC,218,Indi,37281,DHJP,Derryn Hinch's Justice Party,O'CONNELL,Lachlan,3,36431,ALP,Australian Labor Party,DAVID,Nadia,8,610,56.800
VIC,218,Indi,37281,DHJP,Derryn Hinch's Justice Party,O'CONNELL,Lachlan,3,36721,LP,Liberal,LYMAN,Ross,10,464,43.200
VIC,218,Indi,36025,UAPP,United Australia Party,WILLIAMS,Stephen,4,36431,ALP,Australian Labor Party,DAVID,Nadia,8,979,38.270
VIC,218,Indi,36025,UAPP,United Australia Party,WILLIAMS,Stephen,4,36721,LP,Liberal,LYMAN,Ross,10,1579,61.730
VIC,218,Indi,37678,ON,Pauline Hanson's One Nation,STEVENS,Beth,5,36431,ALP,Australian Labor Party,DAVID,Nadia,8,1837,34.230
VIC,218,Indi,37678,ON,Pauline Hanson's One Nation,STEVENS,Beth,5,36721,LP,Liberal,LYMAN,Ross,10,3529,65.770
VIC,218,Indi,36531,GVIC,The Greens,GILBERT,Benjamin,6,36431,ALP,Australian Labor Party,DAVID,Nadia,8,3136,86.490
VIC,218,Indi,36531,GVIC,The Greens,GILBERT,Benjamin,6,36721,LP,Liberal,LYMAN,Ross,10,490,13.510
VIC,218,Indi,36055,NP,The Nationals,FISHER,Liz,7,36431,ALP,Australian Labor Party,DAVID,Nadia,8,601,15.590
VIC,218,Indi,36055,NP,The Nationals,FISHER,Liz,7,36721,LP,Liberal,LYMAN,Ross,10,3253,84.410
VIC,218,Indi,36898,LDP,Liberal Democrats,FIDGE,Julian,9,36431,ALP,Australian Labor Party,DAVID,Nadia,8,430,18.700
VIC,218,Indi,36898,LDP,Liberal Democrats,FIDGE,Julian,9,36721,LP,Liberal,LYMAN,Ross,10,1870,81.300
VIC,221,Kooyong,0,,,First Preferences,,0,36729,LP,Liberal,FRYDENBERG,Josh,7,43736,86.050
VIC,221,Kooyong,0,,,First Preferences,,0,36442,ALP,Australian Labor Party,LYNCH,Peter,8,7091,13.950
